datetime,load_demand_MW,temperature_C,humidity_%,solar_irradiation_Wm2,population,gni_per_capita_usd,power_price_usd_per_kwh,day_of_week,hour_of_day,is_holiday,season,year,month,week_of_year,lag_1_hour_load,lag_1_day_load,moving_avg_7_day,hour
2022-01-02 00:00:00,345.0028,9.4276,68.089,0.0,99936.6309,11953.2744,0.102,6,0,1,Winter,2022,1,52,311.9649,325.3557,281.2285,0
2022-01-02 01:00:00,328.1871,10.7382,69.8137,4.4545,99915.2883,12416.2761,0.1031,6,1,1,Winter,2022,1,52,345.0028,311.9905,283.0346,1
2022-01-02 02:00:00,336.2694,8.2143,76.0053,8.6054,99963.9597,12023.4414,0.111,6,2,1,Winter,2022,1,52,328.1871,335.3107,285.0063,2
2022-01-02 03:00:00,305.0352,11.2677,76.4862,12.1699,100053.5935,11978.0353,0.1049,6,3,1,Winter,2022,1,52,336.2694,327.4005,285.7216,3
2022-01-02 04:00:00,299.0856,9.315,85.6354,14.905,100633.8252,11921.4667,0.116,6,4,1,Winter,2022,1,52,305.0352,295.0379,286.1824,4
2022-01-02 05:00:00,307.8611,9.9329,70.5946,16.6244,100536.3198,11974.458,0.1089,6,5,1,Winter,2022,1,52,299.0856,271.9143,286.905,5
2022-01-02 06:00:00,267.3979,9.3129,75.9844,17.2108,100376.4555,11872.7201,0.1113,6,6,1,Winter,2022,1,52,307.8611,299.7933,286.2758,6
2022-01-02 07:00:00,296.45,14.2209,70.49,16.6244,101014.605,12061.7823,0.1098,6,7,1,Winter,2022,1,52,267.3979,260.3567,286.5937,7
2022-01-02 08:00:00,264.1538,10.4893,73.3238,14.905,98671.8808,12027.9028,0.1097,6,8,1,Winter,2022,1,52,296.45,233.103,285.9137,8
2022-01-02 09:00:00,283.2406,8.4009,84.207,12.1699,99769.9707,11942.9401,0.1176,6,9,1,Winter,2022,1,52,264.1538,228.207,285.8351,9
2022-01-02 10:00:00,238.4666,12.1614,70.1054,8.6054,99994.3637,11925.3678,0.1154,6,10,1,Winter,2022,1,52,283.2406,248.2015,284.4817,10
2022-01-02 11:00:00,237.5877,8.0746,78.7223,4.4545,99663.8853,12070.9888,0.1108,6,11,1,Winter,2022,1,52,238.4666,263.9299,283.1791,11
2022-01-02 12:00:00,227.631,10.9341,77.7516,0.0,99535.1246,11888.5566,0.1134,6,12,1,Winter,2022,1,52,237.5877,253.5204,281.6778,12
2022-01-02 13:00:00,232.416,6.597,75.6663,0.0,99141.4202,11986.3946,0.1159,6,13,1,Winter,2022,1,52,227.631,193.1489,280.3814,13
2022-01-02 14:00:00,248.2247,7.86,78.3843,0.0,99844.3357,11944.1779,0.107,6,14,1,Winter,2022,1,52,232.416,237.1494,279.5569,14
2022-01-02 15:00:00,281.4717,10.91,69.987,0.0,100447.0135,11593.2024,0.1022,6,15,1,Winter,2022,1,52,248.2247,262.8837,279.6048,15
2022-01-02 16:00:00,284.3959,11.9933,84.0687,0.0,100386.9682,12206.44,0.1128,6,16,1,Winter,2022,1,52,281.4717,225.6913,279.7216,16
2022-01-02 17:00:00,282.486,10.8591,85.4113,0.0,99623.9351,11667.8913,0.1162,6,17,1,Winter,2022,1,52,284.3959,300.7306,279.7875,17
2022-01-02 18:00:00,260.9876,10.285,76.0226,0.0,100110.1225,11680.765,0.1014,6,18,1,Winter,2022,1,52,282.486,244.8438,279.3502,18
2022-01-02 19:00:00,284.1573,9.9141,87.9026,0.0,100678.7999,12213.489,0.107,6,19,1,Winter,2022,1,52,260.9876,306.6887,279.4595,19
2022-01-02 20:00:00,318.3314,7.5593,73.792,0.0,99239.9665,11812.7287,0.1088,6,20,1,Winter,2022,1,52,284.1573,300.5835,280.3233,20
2022-01-02 21:00:00,300.6387,9.0766,77.7893,0.0,99920.582,11619.125,0.1051,6,21,1,Winter,2022,1,52,318.3314,322.9722,280.765,21
2022-01-02 22:00:00,322.8853,9.595,82.9466,0.0,100143.2481,12301.8967,0.1093,6,22,1,Winter,2022,1,52,300.6387,324.9318,281.6611,22
2022-01-02 23:00:00,335.7739,12.6306,73.4921,0.0,100005.0077,11906.8178,0.1044,6,23,1,Winter,2022,1,52,322.8853,311.9649,282.7885,23
2022-01-03 00:00:00,371.3963,11.4615,69.1394,0.0,100425.3167,12294.5662,0.1084,0,0,0,Winter,2022,1,1,335.7739,345.0028,284.5968,0
2022-01-03 01:00:00,328.3798,7.2482,67.9886,6.6801,99251.087,11868.5655,0.1135,0,1,0,Winter,2022,1,1,371.3963,328.1871,285.4725,1
2022-01-03 02:00:00,291.6426,11.4225,86.3513,12.9049,99497.0907,11722.9234,0.0997,0,2,0,Winter,2022,1,1,328.3798,336.2694,285.5935,2
2022-01-03 03:00:00,333.7497,10.0041,73.4021,18.2503,100341.0207,11987.2909,0.1047,0,3,0,Winter,2022,1,1,291.6426,305.0352,286.5195,3
2022-01-03 04:00:00,328.0723,9.4205,75.1185,22.352,99148.888,11810.0187,0.117,0,4,0,Winter,2022,1,1,333.7497,299.0856,287.3035,4
2022-01-03 05:00:00,343.3673,11.9976,70.4834,24.9304,100405.8839,12132.4704,0.1059,0,5,0,Winter,2022,1,1,328.0723,307.8611,288.3418,5
2022-01-03 06:00:00,273.3777,12.8363,80.7889,25.8098,100224.9091,12186.8509,0.097,0,6,0,Winter,2022,1,1,343.3673,267.3979,288.0697,6
2022-01-03 07:00:00,244.2793,12.6369,72.1394,24.9304,100370.9599,12237.5611,0.1109,0,7,0,Winter,2022,1,1,273.3777,296.45,287.2877,7
2022-01-03 08:00:00,264.5228,9.0959,73.5909,22.352,99765.3552,11989.2959,0.1096,0,8,0,Winter,2022,1,1,244.2793,264.1538,286.8883,8
2022-01-03 09:00:00,256.9462,10.1559,77.5448,18.2503,100254.9192,12327.6871,0.1107,0,9,0,Winter,2022,1,1,264.5228,283.2406,286.3721,9
2022-01-03 10:00:00,252.7671,11.4368,70.727,12.9049,99413.8562,11866.0839,0.1103,0,10,0,Winter,2022,1,1,256.9462,238.4666,285.8025,10
2022-01-03 11:00:00,227.4508,12.7254,75.1543,6.6801,99792.7475,12078.44,0.1164,0,11,0,Winter,2022,1,1,252.7671,237.5877,284.83,11
2022-01-03 12:00:00,238.5558,9.8159,83.0582,0.0,100018.1695,12023.948,0.1065,0,12,0,Winter,2022,1,1,227.4508,227.631,284.0714,12
2022-01-03 13:00:00,235.5816,10.403,78.1885,0.0,99550.6253,12446.1449,0.1095,0,13,0,Winter,2022,1,1,238.5558,232.416,283.2893,13
2022-01-03 14:00:00,226.7057,8.5616,76.6999,0.0,100109.0534,12293.179,0.1078,0,14,0,Winter,2022,1,1,235.5816,248.2247,282.3911,14
2022-01-03 15:00:00,223.7611,8.3819,77.1215,0.0,99427.8964,12058.0509,0.1134,0,15,0,Winter,2022,1,1,226.7057,281.4717,281.4751,15
2022-01-03 16:00:00,252.498,12.3993,74.1015,0.0,100134.3254,12091.3087,0.1139,0,16,0,Winter,2022,1,1,223.7611,284.3959,281.0293,16
2022-01-03 17:00:00,266.6439,13.4868,86.0279,0.0,100870.9252,12358.7352,0.1119,0,17,0,Winter,2022,1,1,252.498,282.486,280.8113,17
2022-01-03 18:00:00,297.4559,10.6303,71.9864,0.0,99371.6672,11901.3023,0.1208,0,18,0,Winter,2022,1,1,266.6439,260.9876,281.0597,18
2022-01-03 19:00:00,295.5711,12.7814,77.1018,0.0,99988.7199,11645.0067,0.1128,0,19,0,Winter,2022,1,1,297.4559,284.1573,281.2731,19
2022-01-03 20:00:00,297.5211,11.4976,76.6223,0.0,99191.0195,11858.0893,0.1163,0,20,0,Winter,2022,1,1,295.5711,318.3314,281.5086,20
2022-01-03 21:00:00,326.5066,9.4841,81.091,0.0,99583.523,11968.7201,0.1056,0,21,0,Winter,2022,1,1,297.5211,300.6387,282.1514,21
2022-01-03 22:00:00,323.1298,11.4971,81.5631,0.0,100350.9746,12323.7719,0.1065,0,22,0,Winter,2022,1,1,326.5066,322.8853,282.7286,22
2022-01-03 23:00:00,318.5575,13.8504,75.8871,0.0,99784.6857,12258.7745,0.1199,0,23,0,Winter,2022,1,1,323.1298,335.7739,283.2262,23
2022-01-04 00:00:00,338.9692,10.9604,77.7529,0.0,100371.2051,12060.0304,0.1032,1,0,0,Winter,2022,1,1,318.5575,371.3963,283.9898,0
2022-01-04 01:00:00,345.3567,14.1613,77.9422,8.9037,100177.9417,12162.1185,0.1138,1,1,0,Winter,2022,1,1,338.9692,328.3798,284.8191,1
2022-01-04 02:00:00,324.9349,5.7925,64.9388,17.2006,99967.7409,11927.0217,0.1164,1,2,0,Winter,2022,1,1,345.3567,291.6426,285.354,2
2022-01-04 03:00:00,354.186,12.6758,68.3546,24.3253,99485.2937,12486.5084,0.1159,1,3,0,Winter,2022,1,1,324.9349,333.7497,286.2597,3
2022-01-04 04:00:00,333.3323,11.2061,73.2742,29.7923,100342.7441,12311.4191,0.102,1,4,0,Winter,2022,1,1,354.186,328.0723,286.871,4
2022-01-04 05:00:00,306.5375,10.434,73.4915,33.229,100152.0669,12079.5125,0.1082,1,5,0,Winter,2022,1,1,333.3323,343.3673,287.1231,5
2022-01-04 06:00:00,277.2174,11.2156,70.3031,34.4012,99235.9798,12054.0814,0.1131,1,6,0,Winter,2022,1,1,306.5375,273.3777,286.9977,6
